open,high,low,close,volume,200_day_ma,100_day_ma,200_days_sma_for_mm,mayer_multiple,value,value_classification,0.1_quantile,0.9_quantile,signal
9757.4736328125,10396.591796875,9730.650390625,10346.7607421875,17248102294,7613.135750732422,10150.242749023437,7613.135750732422,1.3590668918772517,28,Fear,0.730544547694275,1.5859624113971147,hold
10345.7255859375,10736.1044921875,10308.5478515625,10623.5400390625,19384917989,7648.149396972656,10169.745991210937,7648.149396972656,1.3890340640139147,41,Fear,0.730544547694275,1.5859624113971147,hold
10621.1806640625,10762.64453125,10434.7099609375,10594.4931640625,16742664769,7682.972924804688,10187.633139648438,7682.972924804688,1.3789575035280794,43,Fear,0.730544547694275,1.5859624113971147,hold
10588.18359375,10627.26953125,10516.41796875,10575.533203125,14551239508,7717.4814099121095,10206.188852539062,7717.4814099121095,1.370334781699907,41,Fear,0.730544547694275,1.5859624113971147,hold
10578.1982421875,10898.76171875,10292.2998046875,10353.302734375,19536574783,7749.66935180664,10223.127006835937,7749.66935180664,1.3359670283173293,43,Fear,0.730544547694275,1.5859624113971147,hold
10353.931640625,10558.673828125,10348.9189453125,10517.2548828125,15307366476,7782.520153808594,10245.104829101563,7782.520153808594,1.351394493680249,39,Fear,0.730544547694275,1.5859624113971147,hold
10518.1142578125,10595.6376953125,10409.0908203125,10441.2763671875,13670567493,7814.727432861328,10263.772573242188,7814.727432861328,1.3361024369553056,43,Fear,0.730544547694275,1.5859624113971147,hold
10443.228515625,10450.3115234375,10144.9296875,10334.974609375,17595943368,7846.63171508789,10281.482153320312,7846.63171508789,1.3171224271304083,41,Fear,0.730544547694275,1.5859624113971147,hold
10336.408203125,10394.353515625,10020.5732421875,10115.9755859375,14906809639,7877.1839599609375,10295.212329101563,7877.1839599609375,1.2842121800577657,41,Fear,0.730544547694275,1.5859624113971147,hold
10123.03515625,10215.9482421875,9980.7763671875,10178.3720703125,15428063426,7907.363186035156,10314.906098632813,7907.363186035156,1.2872017929172739,38,Fear,0.730544547694275,1.5859624113971147,hold
10176.8193359375,10442.25390625,10099.2421875,10410.126953125,15323563925,7940.361683349609,10341.929658203126,7940.361683349609,1.3110393919403343,39,Fear,0.730544547694275,1.5859624113971147,hold
